"pathway","pval","padj","log2err","ES","NES","size","drug_name","direction","is_candidate"
"GENTILE_UV_RESPONSE_CLUSTER_D1",0.0392201314894582,0.0975511634137796,0.0762633077782967,0.839883011843933,1.34011311095275,17,"GENTILE_UV_RESPONSE_CLUSTER_D1","BOTH",FALSE
"GROSS_HYPOXIA_VIA_ELK3_AND_HIF1A_DN",0.0394670940599018,0.0980762664376852,0.0712828552644706,0.706470306970546,1.21972296678616,101,"GROSS_HYPOXIA_VIA_ELK3_AND_HIF1A","DN",FALSE
"BLALOCK_ALZHEIMERS_DISEASE_INCIPIENT_UP",0.0395960403959604,0.0983074106382465,0.0710949907592617,0.647965102388203,1.12665117356948,374,"BLALOCK_ALZHEIMERS_DISEASE_INCIPIENT","UP",FALSE
"MOREIRA_RESPONSE_TO_TSA_DN",0.0397868963953752,0.098624920116684,0.0756977855210356,0.839132353973554,1.33891536502891,17,"MOREIRA_RESPONSE_TO_TSA","DN",FALSE
"TORCHIA_TARGETS_OF_EWSR1_FLI1_FUSION_UP",0.0397960203979602,0.098624920116684,0.070908526474039,0.66198839346343,1.14966532263665,251,"TORCHIA_TARGETS_OF_EWSR1_FLI1_FUSION","UP",FALSE
"IIZUKA_LIVER_CANCER_PROGRESSION_L0_L1_DN",0.0399002493765586,0.0987824414210374,0.0755861140764237,0.838993656657197,1.33869406028828,17,"IIZUKA_LIVER_CANCER_PROGRESSION_L0_L1","DN",FALSE
"PETRETTO_CARDIAC_HYPERTROPHY",0.0399916247906198,0.0987824414210374,0.0724404674044223,0.780436204279496,1.30594511014759,34,"PETRETTO_CARDIAC_HYPERTROPHY","BOTH",FALSE
"BLUM_RESPONSE_TO_SALIRASIB_UP",0.03999600039996,0.0987824414210374,0.0707234449047984,0.663238068703497,1.15148893331736,240,"BLUM_RESPONSE_TO_SALIRASIB","UP",FALSE
"MANNE_COVID19_ICU_VS_HEALTHY_DONOR_PLATELETS_DN",0.04000400040004,0.0987824414210374,0.0707234449047984,0.687277158569115,1.18835608224153,143,"MANNE_COVID19_ICU_VS_HEALTHY_DONOR_PLATELETS","DN",FALSE
"GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_RED_UP",0.0401326320603705,0.0990107135411845,0.0756977855210356,0.843475415102001,1.33979848692916,16,"GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_RED","UP",FALSE
