"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","sig"
-1.00369334210529,9.41227055555555,-8.20644934877968,1.57672980269649e-11,2.03887812188436e-09,16.0380867011008,"SNORD19","Down"
-0.756400360745651,12.8348687936508,-8.20263259028667,1.60109512772348e-11,2.05760490518983e-09,16.0230999608665,"ERN1","Down"
0.725789481359623,13.4500389126984,8.19811787361896,1.63040352487851e-11,2.08241539781875e-09,16.0053721111768,"C6orf130","Up"
-0.775324760964944,13.5772508968254,-8.19464825215155,1.65329217815721e-11,2.08813973965776e-09,15.9917476268528,"NXT1","Down"
1.44177229057014,11.3606541825397,8.1943995303992,1.65494527615894e-11,2.08813973965776e-09,15.990770935155,"JUB","Up"
0.907001481359615,12.2380012619048,8.18090367232509,1.74717122241162e-11,2.19122636622816e-09,15.9377722334316,"NHEJ1","Up"
0.742904804824519,12.6030946587302,8.17310094497367,1.80282331642713e-11,2.24748374998182e-09,15.9071283915946,"TCFL5","Up"
1.31761960635961,11.9645695396825,8.16825639845054,1.83826653335622e-11,2.2780280332109e-09,15.8881014673599,"ME1","Up"
-2.12508649780704,9.6645386031746,-8.16274617379704,1.87942918879322e-11,2.31525658470332e-09,15.8664593447581,"CALCA","Down"
-1.57857765899126,11.9264643809524,-8.1533668964123,1.95162914589626e-11,2.39005689343613e-09,15.8296192017061,"RRS1","Down"
1.06028968201752,11.5131927380952,8.13810673655655,2.07508451747058e-11,2.52638506252749e-09,15.7696752199874,"TMEM20","Up"
1.08913266666663,10.2643048968254,8.12091262603142,2.2235834196444e-11,2.69144088451028e-09,15.7021275639092,"DDO","Up"
-1.86265186293863,10.666225047619,-8.11841844760671,2.24599125488852e-11,2.70052931703834e-09,15.6923285117882,"FGF14","Down"
0.883337152412253,9.65476912698412,8.11719834897464,2.25703492561925e-11,2.70052931703834e-09,15.687534972338,"CENPK","Up"
1.05067766118418,11.1366321428571,8.10450038936766,2.37524881840269e-11,2.82573172287575e-09,15.6376450184073,"C14orf143","Up"
-1.12649235087723,13.1658595873016,-8.09965241834319,2.42200033131936e-11,2.86497868737146e-09,15.6185964979425,"PFKFB3","Down"
-1.05291375000003,12.9498298095238,-8.08470974996563,2.5719781725362e-11,3.0251985070074e-09,15.5598808880084,"UPP1","Down"
-1.12749932675441,12.9744095079365,-8.07345582198307,2.6910423906191e-11,3.14746132192691e-09,15.5156566192364,"FOXO1","Down"
0.452386892543819,13.372396484127,8.04849522534735,2.97519084037396e-11,3.46036302266734e-09,15.4175603630343,"ARHGEF18","NS"
-1.8501770537281,10.6912472380952,-8.03320105770932,3.16394813072055e-11,3.65945756297061e-09,15.3574476264886,"KIAA0040","Down"
-0.917620337719331,13.9061130476191,-8.02735297034462,3.23925281494961e-11,3.72585659416773e-09,15.3344609552326,"FAM134B","Down"
-1.25092472807021,12.462351515873,-8.02058935703247,3.32858734799368e-11,3.80757472515826e-09,15.3078749260602,"IL4R","Down"
-1.8539970416667,10.3076096984127,-8.01326517868192,3.42810998672538e-11,3.8999902630402e-09,15.2790845569864,"HAS2","Down"
1.07068613925436,10.4403113253968,7.98338038367427,3.86603545954426e-11,4.37429305610064e-09,15.1616021890931,"C19orf25","Up"
1.02912071271927,11.1137385,7.97016510026903,4.07714546490172e-11,4.5763491797126e-09,15.1096461684955,"PDP2","Up"
-0.477645640350914,13.2361677857143,-7.96889547033997,4.09802528098351e-11,4.5763491797126e-09,15.1046544712129,"CRTC3","NS"
0.924422796052593,13.3765769126984,7.96813643918075,4.11055908836283e-11,4.5763491797126e-09,15.101670241196,"C14orf167","Up"
1.09476146820172,13.5150313571429,7.9487720909639,4.44362906208282e-11,4.92084645976076e-09,15.0255340832831,"PALMD","Up"
0.798816894736802,13.1096123253968,7.94013483751491,4.60077731171373e-11,5.06791443664382e-09,14.9915727912806,"TADA1L","Up"
0.510293105263118,13.3146487063492,7.93070231897311,4.77875647630599e-11,5.22070533458057e-09,14.9544834923759,"SKP2","Up"
-1.51341158442985,10.1088462698413,-7.92915756625167,4.80855368060404e-11,5.22070533458057e-09,14.9484093185619,"NR4A2","Down"
