"Metabolite","Neighbor_Genes_Count","Mean_Log2FC","Z_Raw","Reporter_Z_Score","Pvalue","Neighbor_Genes","Padj"
"3-Dehydrochenodeoxychollyc acid; 7oxo-3alpha-hydroxy-5beta-cholan-24-oic acid",10,-0.277,6.355,2.271,0.01159,"CYP3A4; ABCB11; ABCC2; ABCC3; ABCC4; SLC51A; SLCO1B1; SLCO1B3",0.1621
"12-Dehydrocholic acid; 12-Oxodeoxycholic acid; 12oxo-3alpha,7alpha-Dihydroxy-5beta-cholan-24-oic acid",9,-0.222,6.014,2.262,0.01184,"ABCB11; ABCC2; ABCC3; ABCC4; SLC51A; SLCO1B1; SLCO1B3; SLC51B",0.1644
"N4-acetylaminobutanal",11,-0.162,6.583,2.261,0.01189,"ALDH1B1; ALDH2; ALDH4A1; AOC1; AOC3; MAOA; MAOB; AOC2",0.1644
"20-hydroxy-LTB5",4,0.323,4.664,2.255,0.01205,"CYP4F22; CYP4F11; CYP4F2; CYP4F3",0.1656
"3-Dehydrocholic acid; 3oxo-7alpha,12alpha-Dihydroxy-5beta-cholan-24-oic acid",10,-0.277,6.355,2.249,0.01224,"CYP3A4; ABCB11; ABCC2; ABCC3; ABCC4; SLC51A; SLCO1B1; SLCO1B3",0.1673
"3,4-dihydroxyphenylacetaldehyde",8,0.06,5.926,2.244,0.01241,"AOC1; AOC3; MAOA; MAOB; AOC2; ALDH3A1; ALDH3B1; AKR1A1",0.1686
"TAG-VLDL pool",6,0.489,5.381,2.237,0.01264,"LPL; ABHD6; GPIHBP1; ABHD12; MGLL; SDC1",0.1705
"Hyocholic acid; gamma-Muricholate",13,-0.199,6.793,2.236,0.01269,"CYP3A4; UGT2A3; UGT2A1; UGT2B7; UGT2B4; ABCB11; ABCC2; ABCC3",0.1705
"phosphatidate-LD-PS pool",20,0.232,8.009,2.225,0.01303,"AGPAT4; AGPAT2; MBOAT1; AGPAT3; AGPAT1; AGPAT5; ABHD5; MBOAT2",0.1741
"Isochenodeoxycholic acid; 3beta,7alpha,12alpha-Trihydroxy-5beta-cholanic acid",9,-0.222,6.014,2.223,0.01312,"ABCB11; ABCC2; ABCC3; ABCC4; SLC51A; SLCO1B1; SLCO1B3; SLC51B",0.1743
"3-dehydro-Lithocholate",9,-0.341,6.203,2.218,0.01328,"ABCB11; ABCC2; ABCC3; CYP3A4; SLC51A; SLCO1B1; SLCO1B3; SLC51B",0.175
"keratan sulfate II (core 2-linked), degradation product 6",8,0.227,5.791,2.217,0.01332,"NEU1; GALNS; GLB1; CTSA; HEXB; HEXD; HEXA; GNS",0.175
"selenomethionine-se-oxide",5,0.515,5.095,2.214,0.01343,"FMO4; FMO1; FMO3; FMO5; FMO2",0.1755
"5,10-methylene-THF",21,0.036,8.176,2.207,0.01364,"SHMT1; MTHFD2; MTHFD2L; MTHFD1; MTHFD1L; MTHFR; TYMS; SHMT2",0.1772
"keratan sulfate I, degradation product 12",8,0.227,5.791,2.199,0.01395,"NEU1; GALNS; GLB1; CTSA; GNS; HEXB; HEXD; HEXA",0.1803
"VLDL",6,0.489,5.381,2.196,0.01405,"LPL; ABHD6; GPIHBP1; ABHD12; MGLL; SDC1",0.1806
"TAG-chylomicron pool",6,0.489,5.381,2.194,0.01414,"LPL; ABHD6; GPIHBP1; ABHD12; MGLL; SDC1",0.1807
"keratan sulfate I, degradation product 27",8,0.227,5.791,2.19,0.01426,"NEU1; GALNS; GLB1; CTSA; GNS; HEXB; HEXD; HEXA",0.1807
"12-oxo-20-hydroxy-LTB4",4,0.323,4.664,2.188,0.01433,"CYP4F22; CYP4F11; CYP4F2; CYP4F3",0.1807
"Deoxycholic acid-3glucuronide, CDA-3G",6,-0.417,5.36,2.187,0.01436,"UGT2A1; UGT2B7; ABCG2; ABCB11; ABCC2; ABCC3",0.1807
"trimethylamine-N-oxide",5,0.515,5.095,2.18,0.01464,"FMO4; FMO1; FMO3; FMO5; FMO2",0.1808
"Deoxycholic acid-24glucuronide, CDA-24G",6,-0.417,5.36,2.179,0.01467,"UGT2A1; UGT2B7; ABCG2; ABCB11; ABCC2; ABCC3",0.1808
"keratan sulfate I, degradation product 21",8,0.227,5.791,2.177,0.01473,"NEU1; GALNS; GLB1; CTSA; GNS; HEXB; HEXD; HEXA",0.1808
"VLDL remnant",7,0.477,5.536,2.17,0.01502,"LPL; ABHD6; GPIHBP1; ABHD12; MGLL; SDC1; LDLR",0.1808
"glyceraldehyde",17,0.186,7.614,2.169,0.01505,"AKR1B1; AKR1A1; ADH1A; ADH4; ADH5; AKR1B10; ADH6; ADH1C",0.1808
"keratan sulfate I, degradation product 15",8,0.227,5.791,2.169,0.01504,"NEU1; GALNS; GLB1; CTSA; GNS; HEXB; HEXD; HEXA",0.1808
"13-hydroxy-gamma-tocopherol",4,0.323,4.664,2.168,0.01507,"CYP4F22; CYP4F11; CYP4F2; CYP4F3",0.1808
"20-OH-hepoxilin A3",4,0.323,4.664,2.167,0.0151,"CYP4F22; CYP4F11; CYP4F2; CYP4F3",0.1808
"keratan sulfate I, degradation product 9",8,0.227,5.791,2.167,0.01513,"NEU1; GALNS; GLB1; CTSA; GNS; HEXB; HEXD; HEXA",0.1808
"keratan sulfate II (core 4-linked), degradation product 3",8,0.227,5.791,2.167,0.01513,"NEU1; GALNS; GLB1; CTSA; GNS; HEXB; HEXD; HEXA",0.1808
"20-dihydroxy-LTB4",4,0.323,4.664,2.159,0.01544,"CYP4F22; CYP4F11; CYP4F2; CYP4F3",0.1827
"linoleoyl-CoA",46,0.201,10.894,2.159,0.01542,"FADS1; FADS2; SLC27A2; ACSL1; ACSL3; ACSL5; ACSBG2; ACSL4",0.1827
"keratan sulfate II (core 2-linked), degradation product 3",8,0.227,5.791,2.153,0.01564,"NEU1; GALNS; GLB1; CTSA; GNS; HEXB; HEXD; HEXA",0.1828
"de-Fuc, GlcNAc removed PA6 (wo peptide linkage)",6,0.095,5.391,2.152,0.01569,"ENGASE; NEU4; NEU1; CTSA; NEU3; GLB1",0.1828
"chylomicron",6,0.489,5.381,2.151,0.01576,"LPL; ABHD6; GPIHBP1; ABHD12; MGLL; SDC1",0.1828
"Ursocholic acid; 3alpha,7beta,12alpha-Trihydroxy-5beta-cholan-24-oic acid; 3alpha,7beta,12alpha-Trihydroxy-5beta-cholanic acid; 7beta-Hydroxyisocholic acid; 7-Epicholic acid",9,-0.222,6.014,2.15,0.01576,"ABCB11; ABCC2; ABCC3; ABCC4; SLC51A; SLCO1B1; SLCO1B3; SLC51B",0.1828
"leukotriene B5",5,0.215,5.043,2.147,0.0159,"LTA4H; CYP4F22; CYP4F11; CYP4F2; CYP4F3",0.1829
"gamma-tocotrienol",4,0.323,4.664,2.139,0.01622,"CYP4F22; CYP4F11; CYP4F2; CYP4F3",0.1829
"keratan sulfate I, degradation product 18",8,0.227,5.791,2.139,0.01621,"NEU1; GALNS; GLB1; CTSA; GNS; HEXB; HEXD; HEXA",0.1829
"keratan sulfate I, degradation product 6",8,0.227,5.791,2.139,0.01621,"NEU1; GALNS; GLB1; CTSA; GNS; HEXB; HEXD; HEXA",0.1829
"12-oxo-20-trihydroxy-LTB4",4,0.323,4.664,2.138,0.01626,"CYP4F22; CYP4F11; CYP4F2; CYP4F3",0.1829
"10,11-dihydro-20-trihydroxy-LTB4",4,0.323,4.664,2.137,0.0163,"CYP4F22; CYP4F11; CYP4F2; CYP4F3",0.1829
"keratan sulfate I, degradation product 30",8,0.227,5.791,2.137,0.01631,"NEU1; GALNS; GLB1; CTSA; GNS; HEXB; HEXD; HEXA",0.1829
"7-Dehydrocholic acid; 7-Oxodeoxycholic acid; 7oxo-3alpha,12alpha-Dihydroxy-5beta-cholan-24-oic acid",9,-0.222,6.014,2.131,0.01656,"ABCB11; ABCC2; ABCC3; ABCC4; SLC51A; SLCO1B1; SLCO1B3; SLC51B",0.1844
"Isochenodeoxycholic acid; 3beta,7alpha-Dihydroxy-5beta-cholanic acid",9,-0.222,6.014,2.129,0.01661,"ABCB11; ABCC2; ABCC3; ABCC4; SLC51A; SLCO1B1; SLCO1B3; SLC51B",0.1844
"keratan sulfate I, degradation product 36",8,0.227,5.791,2.128,0.01667,"NEU1; GALNS; GLB1; CTSA; GNS; HEXB; HEXD; HEXA",0.1844
"taurochenodeoxycholate",13,-0.218,6.875,2.125,0.01679,"BAAT; SLC10A1; SLC51B; SLC51A; ABCC1; ABCC3; ABCB11; ABCC4",0.1848
"10,11-dihydro-12-epi-LTB4",12,0.332,6.613,2.119,0.01705,"CBR3; CBR1; DHRS4; CYP4F22; CYP4F2; CYP4F3; ACSL1; ACSL3",0.1868
"12-oxo-20-dihydroxy-LTB4",4,0.323,4.664,2.114,0.01727,"CYP4F22; CYP4F11; CYP4F2; CYP4F3",0.1884
"12,20-diHETE",4,0.323,4.664,2.11,0.01743,"CYP4F22; CYP4F11; CYP4F2; CYP4F3",0.1891
"dolichyl-phosphate-D-mannose",13,0.134,6.722,2.109,0.01749,"PIGZ; ALG12; DPM2; DPM3; DPM1; ALG3; ALG9; POMT1",0.1891
"20-hydroxy-5S-HETE",4,0.323,4.664,2.099,0.01789,"CYP4F22; CYP4F11; CYP4F2; CYP4F3",0.1921
"keratan sulfate I, degradation product 33",8,0.227,5.791,2.098,0.01794,"NEU1; GALNS; GLB1; CTSA; GNS; HEXB; HEXD; HEXA",0.1921
"selenomethionine",18,0.183,7.508,2.097,0.01801,"FMO4; FMO1; FMO3; FMO5; FMO2; CTH; MAT2B; MAT2A",0.1921
"10,11-dihydro-20-dihydroxy-LTB4",4,0.323,4.664,2.09,0.01829,"CYP4F22; CYP4F11; CYP4F2; CYP4F3",0.1942
"20-OH-10,11-dihydro-LTB4",4,0.323,4.664,2.087,0.01846,"CYP4F22; CYP4F11; CYP4F2; CYP4F3",0.1942
"octanoic acid",19,0.12,7.702,2.087,0.01845,"SLC27A4; FABP7; SLC27A1; CD36; FABP5; FABP2; SLC27A3; FABP4",0.1942
"13-carboxy-gamma-tocopherol",4,0.323,4.664,2.078,0.01884,"CYP4F22; CYP4F11; CYP4F2; CYP4F3",0.1974
"13-hydroxy-alpha-tocopherol",4,0.323,4.664,2.072,0.01915,"CYP4F22; CYP4F11; CYP4F2; CYP4F3",0.1983
"keratan sulfate I, degradation product 24",8,0.227,5.791,2.071,0.0192,"NEU1; GALNS; GLB1; CTSA; GNS; HEXB; HEXD; HEXA",0.1983
"gamma-tocopherol",4,0.323,4.664,2.07,0.01924,"CYP4F22; CYP4F11; CYP4F2; CYP4F3",0.1983
"chylomicron remnant",7,0.477,5.536,2.069,0.01926,"LPL; ABHD6; GPIHBP1; ABHD12; MGLL; SDC1; LDLR",0.1983
"10,11-dihydro-LTB4",15,0.208,7.072,2.061,0.01964,"CBR3; CBR1; DHRS4; CYP4F22; CYP4F11; CYP4F2; CYP4F3; SLC27A2",0.2007
"13-carboxy-alpha-tocopherol",4,0.323,4.664,2.059,0.01974,"CYP4F22; CYP4F11; CYP4F2; CYP4F3",0.2007
"N-acetyl-D-glucosaminyldiphosphodolichol",3,-0.021,4.255,2.059,0.01975,"DPAGT1; ALG13; ALG14",0.2007
"indole-3-acetaldehyde",8,-0.227,5.682,2.057,0.01985,"AOC1; MAOA; MAOB; ALDH2; ALDH3A2; ALDH9A1; ALDH1B1; ALDH7A1",0.2009
"N-acetyl-L-asparagine",3,-0.509,4.254,2.052,0.02011,"NAGS; ASPA; ACY3",0.2014
"13-carboxy-gamma-tocotrienol",4,0.323,4.664,2.049,0.02021,"CYP4F22; CYP4F11; CYP4F2; CYP4F3",0.2014
"4,4-dimethyl-5alpha-cholesta-8-en-3-beta-ol",4,0.133,4.488,2.049,0.02021,"LBR; TM7SF2; MSMO1; FAXDC2",0.2014
"20-trihydroxy-LTB4",4,0.323,4.664,2.047,0.02033,"CYP4F22; CYP4F11; CYP4F2; CYP4F3",0.2014
"homocysteine",9,-0.289,6.034,2.047,0.02032,"AHCYL2; AHCY; CBS; MTR; PON2; PON1; PON3; BHMT2",0.2014
"glycolaldehyde",10,0.278,6.145,2.044,0.02049,"ALDOA; ALDOB; ALDOC; ALDH9A1; ALDH3A2; ALDH7A1; ALDH3A1; ALDH3B1",0.2022
"5,12,20-TriHETE",4,0.323,4.664,2.028,0.02127,"CYP4F22; CYP4F11; CYP4F2; CYP4F3",0.209
"7-Dehydrochenodeoxycholic acid; 7oxo-3alpha-hydroxy-5beta-cholan-24-oic acid",9,-0.222,6.014,2.026,0.02136,"ABCB11; ABCC2; ABCC3; ABCC4; SLC51A; SLCO1B1; SLCO1B3; SLC51B",0.209
"alpha-tocotrienol",4,0.323,4.664,2.024,0.0215,"CYP4F22; CYP4F11; CYP4F2; CYP4F3",0.2092
"PEP",9,0.181,5.841,2.023,0.02156,"PCK1; PCK2; PKM; PKLR; ENO2; ENO3; ENO1; NANS",0.2092
"13-hydroxy-gamma-tocotrienol",4,0.323,4.664,2.021,0.02164,"CYP4F22; CYP4F11; CYP4F2; CYP4F3",0.2092
"dolichyl-phosphate",20,0.102,7.844,2.011,0.02216,"PIGZ; ALG5; DOLPP1; ALG10; DOLK; DPAGT1; ALG12; DPM2",0.2133
"betaine",4,-0.414,4.453,1.978,0.02397,"ALDH7A1; BHMT2; BHMT; SLC6A12",0.2295
"(2S)-pristanic acid",3,0.171,4.293,1.976,0.0241,"ALDH3A2; SLC27A2; ACOT2",0.2295
"keratan sulfate I, degradation product 40",7,0.22,5.177,1.973,0.02428,"HEXB; HEXD; HEXA; NEU1; GALNS; GLB1; CTSA",0.2295
"20-COOH-LTE4",13,0.119,6.715,1.972,0.02432,"ALDH2; ALDH3A2; ALDH9A1; ALDH1B1; ALDH7A1; SLC27A2; ACSL1; ACSL3",0.2295
"ursodeoxycholate",11,-0.229,6.333,1.972,0.02428,"SLCO1B3; SLCO1A2; ABCB11; ABCC2; ABCC3; ABCC4; SULT2A1; SLC51A",0.2295
"4-acetamidobutanoate",6,0.021,5.09,1.967,0.02457,"ALDH1B1; ALDH2; ALDH4A1; ALDH3A2; ALDH9A1; ALDH7A1",0.2309
"keratan sulfate II (core 4-linked)",7,0.319,5.381,1.959,0.02508,"CHST7; CHST3; CHST1; NEU1; GALNS; GLB1; CTSA",0.2348
"keratan sulfate II (core 2-linked)",7,0.319,5.381,1.956,0.02523,"CHST7; CHST3; CHST1; NEU1; GALNS; GLB1; CTSA",0.2353
"3-methoxy-4-hydroxyphenylacetaldehyde",5,0.278,4.827,1.948,0.02574,"ALDH3A1; ALDH1A3; ALDH3B1; MAOA; MAOB",0.2391
"13-hydroxy-alpha-tocotrienol",4,0.323,4.664,1.94,0.02617,"CYP4F22; CYP4F11; CYP4F2; CYP4F3",0.2421
"16-hydroxyhexadecanoic acid",5,-0.27,4.782,1.935,0.02649,"CYP4F2; CYP4F3; ADH5; ALDH3A2; CYP4A11",0.2432
"N-acetylglucosamine-1-phosphate",3,-0.291,4.269,1.935,0.02649,"UAP1L1; UAP1; PGM3",0.2432
"3-phospho-D-glycerate",11,0.203,6.205,1.923,0.02725,"GLYCTK; PHGDH; UBAC2; PGAM4; PGAM2; PGAM1; BPGM; PGK1",0.2492
"S-[2-carboxy-1-(1H-imidazol-4-yl)ethyl]-L-cysteine",16,0.073,7.153,1.903,0.02855,"SIRT6; NTAQ1; NTAN1; MACROD1; SIRT7; SIRT3; SIRT1; OARD1",0.2587
"heptylic acid",17,0.098,7.306,1.903,0.0285,"SLC27A4; FABP7; SLC27A1; CD36; FABP5; FABP2; SLC27A3; FABP4",0.2587
"D-glucarate",6,0.021,5.09,1.902,0.02861,"ALDH1B1; ALDH2; ALDH4A1; ALDH3A2; ALDH9A1; ALDH7A1",0.2587
"N-methylhistamine",7,-0.348,5.37,1.898,0.02882,"HNMT; AOC1; AOC3; MAOA; MAOB; AOC2; SLC22A3",0.2592
"mgacpail heparan sulfate",4,-0.047,4.515,1.898,0.02888,"PIGX; PIGM; PIGV; PIGN",0.2592
"Cholic acid-24glucuronide, CA-24G",4,-0.399,4.473,1.893,0.02921,"UGT2A1; ABCG2; ABCC2; ABCC3",0.2611
"se-adenosylselenomethionine",8,0.056,5.575,1.889,0.02942,"MAT2B; MAT2A; MAT1A; TRDMT1; DNMT3A; DNMT3L; DNMT1; DNMT3B",0.2611
"GM3",14,0.173,6.709,1.888,0.02949,"ST3GAL5; NEU1; NEU3; NEU4; B4GALNT1; HEXB; HEXD; HEXA",0.2611
"phenylacetaldehyde",7,0.01,5.324,1.888,0.02954,"AOC1; AOC3; MAOA; MAOB; AOC2; ALDH3A1; ALDH3B1",0.2611
"3-methoxy-4-hydroxyphenylglycolaldehyde",5,0.278,4.827,1.883,0.02988,"ALDH3A1; ALDH1A3; ALDH3B1; MAOA; MAOB",0.2632
"3-oxo-10(R)-hydroxy-octadeca-(6E,8E,12Z)-trienoate",9,0.283,5.731,1.878,0.0302,"ACOT7; BAAT; ACOT6; ACOT4; ACOT2; ACOT1; ACAA2; HADHA",0.2638
"hexadecanal",3,0.057,4.123,1.878,0.03017,"SGPL1; ALDH3A2; ALDH3B1",0.2638
"heptadecanoyl-CoA",38,0.158,9.992,1.877,0.03029,"SLC27A2; ACSL1; ACSL3; ACSL5; ACSBG2; ACSL4; ACSL6; ACSBG1",0.2638
"galactose",24,0.117,8.289,1.872,0.03063,"GLB1L; LCT; GLB1; TMPPE; GLA; HEXB; HEXD; HEXA",0.2658
"nm2masn",3,0.104,4.1,1.859,0.03154,"MAN2A1; MAN2A2; MGAT2",0.2727
"melatonin",7,-0.746,5.322,1.854,0.03184,"ASMT; CYP1A2; CYP1A1; CYP1B1; IDO1; IDO2; CYP2C19",0.2732
"14-demethyllanosterol",4,0.133,4.488,1.853,0.03195,"TM7SF2; MSMO1; LBR; FAXDC2",0.2732
"apocytochrome-C",17,0.226,7.147,1.852,0.03205,"HCCS; CTSA; CTSE; CTSO; CTSK; CTSC; CTSL; CTSB",0.2732
"decanoic acid",21,0.066,7.833,1.852,0.03199,"SLC27A4; FABP7; SLC27A1; CD36; FABP5; FABP2; SLC27A3; FABP4",0.2732
"4-hydroxy-atorvastatin-lactone / para-hydroxy-atorvastatin lactone",7,-0.304,5.284,1.847,0.0324,"PON3; CYP3A5; CYP3A4; ABCB1; ABCC2; SLCO1B1; SLCO2B1",0.2752
"albumin",17,0.183,7.208,1.844,0.03256,"ALB; CTSA; CTSE; CTSO; CTSK; CTSC; CTSL; CTSB",0.2755
"bilirubin-monoglucuronoside",6,-0.236,4.938,1.834,0.03332,"UGT1A8; ABCC1; ABCC2; SLCO1B1; SLC22A10; SLCO1B3",0.281
"3-hydroxyanthranilate",3,-0.343,4.099,1.832,0.03346,"KYNU; CAT; HAAO",0.2812
"N-acetyl-S-[2-carboxy-1-(1H-imidazol-4-yl)ethyl]-L-cysteine",15,0.056,6.917,1.83,0.03364,"ELOVL7; ELOVL1; ELOVL2; SIRT6; NTAN1; SIRT2; MACROD1; NAAA",0.2817
"taurocholate",14,-0.167,6.641,1.823,0.03416,"BAAT; SLC10A1; SLC51B; SLC51A; ABCC3; ABCC11; ABCB11; ABCC4",0.285
"FMN",9,-0.026,5.572,1.819,0.03446,"DHODH; RFK; ACP3; ACP7; FLAD1; ENPP3; ENPP1; CYP2E1",0.2865
"4-methyl-2-oxopentanoate",19,-0.025,7.442,1.813,0.0349,"BCAT2; BCAT1; SDR42E1; MDH1B; BDH2; AKR1C1; ADH5; HTATIP2",0.2892
"3-oxo-10(S)-hydroxy-octadeca-(6E,8E,12Z)-trienoate",9,0.283,5.731,1.807,0.03539,"ACOT7; BAAT; ACOT6; ACOT4; ACOT2; ACOT1; ACAA2; HADHA",0.2914
"L-cystathionine",3,-0.398,3.948,1.807,0.03542,"CBS; CTH; NAGS",0.2914
"Hyocholic acid-6glucuronide, HCA-6G",6,-0.351,4.938,1.8,0.03597,"UGT2B4; UGT2B7; ABCG2; ABCB11; ABCC2; ABCC3",0.295
"keratan sulfate I, degradation product 14",7,0.22,5.177,1.796,0.03625,"HEXB; HEXD; HEXA; NEU1; GALNS; GLB1; CTSA",0.2962
"keratan sulfate I, degradation product 20",7,0.22,5.177,1.791,0.03668,"HEXB; HEXD; HEXA; NEU1; GALNS; GLB1; CTSA",0.2985
"D-glucurono-6,3-lactone",6,0.021,5.09,1.789,0.03685,"ALDH1B1; ALDH2; ALDH4A1; ALDH3A2; ALDH9A1; ALDH7A1",0.2985
"2-deoxy-D-ribose-1-phosphate",5,0.611,4.628,1.788,0.0369,"TYMP; PNP; UPP2; UPP1; PGM2",0.2985
"keratan sulfate II (core 2-linked), degradation product 9",7,0.22,5.177,1.782,0.03739,"NEU1; GALNS; GLB1; CTSA; HEXB; HEXD; HEXA",0.3004
"normetanephrine",4,-0.137,4.336,1.782,0.03735,"LRTOMT; COMT; MAOA; MAOB",0.3004
"GM2A",20,0.211,7.625,1.779,0.03758,"GM2A; HEXB; HEXD; HEXA; CTSA; CTSE; CTSO; CTSK",0.3009
"histone-N6-acetyl-L-lysine",14,-0.117,6.628,1.776,0.03785,"CLOCK; HAT1; EP300; NCOA3; KAT7; GTF3C4; NCOA1; KAT5",0.302
"keratan sulfate I, degradation product 29",7,0.22,5.177,1.771,0.03828,"HEXB; HEXD; HEXA; NEU1; GALNS; GLB1; CTSA",0.3044
"4-hydroxy-atorvastatin-acid / para-hydroxy-atorvastatin acid",8,-0.302,5.435,1.76,0.03925,"CYP3A5; CYP3A4; CYP2C8; PON3; ABCB1; ABCC2; SLCO1B1; SLCO2B1",0.3111
"keratan sulfate I, degradation product 39",7,0.22,5.177,1.754,0.03973,"NEU1; GALNS; GLB1; CTSA; HEXB; HEXD; HEXA",0.3123
"propanoyl-CoA",55,0.087,11.471,1.754,0.03973,"ACSS3; ACSS1; ACSS2; ACOT7; ACADS; ACADM; MLYCD; EHHADH",0.3123
"pitavastatin",12,-0.368,6.281,1.751,0.04001,"ABCG2; UGT1A1; UGT1A4; UGT1A6; UGT1A3; UGT2B7; CYP2C9; CYP2C8",0.3123
"3-methoxytyramine",4,-0.137,4.336,1.75,0.04003,"LRTOMT; COMT; MAOA; MAOB",0.3123
"n2m2mn",7,0.22,5.177,1.75,0.04006,"NEU1; GALNS; GLB1; CTSA; HEXB; HEXD; HEXA",0.3123
"dephospho-CoA",4,-0.15,4.233,1.746,0.0404,"COASY; ENPP3; ENPP1; ACP2",0.3132
"keratan sulfate I, degradation product 35",7,0.22,5.177,1.745,0.04045,"HEXB; HEXD; HEXA; NEU1; GALNS; GLB1; CTSA",0.3132
"L-metanephrine",4,-0.137,4.336,1.744,0.04056,"LRTOMT; COMT; MAOA; MAOB",0.3132
"keratan sulfate I, degradation product 26",7,0.22,5.177,1.742,0.04079,"HEXB; HEXD; HEXA; NEU1; GALNS; GLB1; CTSA",0.3139
"4-(2-amino-3-hydroxyphenyl)-2,4-dioxobutanoate",3,-0.371,3.916,1.735,0.04133,"KYAT1; AADAT; KYAT3",0.3144
"hexanoic acid",20,0.154,7.595,1.735,0.04135,"SLC27A4; FABP7; SLC27A1; CD36; FABP5; FABP2; SLC27A3; FABP4",0.3144
"G10595",5,0.311,4.615,1.733,0.04155,"ALG3; ALG9; DPM2; DPM3; DPM1",0.3144
"N,N-chitobiosyldiphosphodolichol",3,-0.082,3.859,1.733,0.04156,"ALG13; ALG14; ALG1",0.3144
"fructoseglycine-ketone-3-phosphate",3,-0.354,3.972,1.733,0.04158,"FN3K; FGGY; FN3KRP",0.3144
"F1alpha",7,0.22,5.177,1.732,0.04165,"HEXB; HEXD; HEXA; NEU1; GALNS; GLB1; CTSA",0.3144
"keratan sulfate I, degradation product 23",7,0.22,5.177,1.72,0.04272,"HEXB; HEXD; HEXA; NEU1; GALNS; GLB1; CTSA",0.3215
"coproporphyrin III",5,-0.325,4.553,1.718,0.04288,"SLCO1B1; SLCO1B3; SLCO2B1; ABCB6; ABCC2",0.3217
"keratan sulfate II (core 2-linked), degradation product 5",7,0.22,5.177,1.715,0.04314,"HEXB; HEXD; HEXA; NEU1; GALNS; GLB1; CTSA",0.3226
"keratan sulfate I, degradation product 38",7,0.22,5.177,1.709,0.0437,"HEXB; HEXD; HEXA; NEU1; GALNS; GLB1; CTSA",0.3248
"cerivastatin-M24",3,-0.617,3.801,1.708,0.04382,"CYP3A4; CYP2C8; ABCG2",0.3248
"plasminogen",17,0.192,7.052,1.708,0.04385,"PLG; CTSA; CTSE; CTSO; CTSK; CTSC; CTSL; CTSB",0.3248
"GT1b",8,-0.155,5.368,1.705,0.04405,"ST3GAL1; ST3GAL4; ST3GAL2; NEU1; NEU3; NEU4; ST6GALNAC6; ST8SIA1",0.3253
"keratan sulfate II (core 2-linked), degradation product 8",7,0.22,5.177,1.701,0.04447,"HEXB; HEXD; HEXA; NEU1; GALNS; GLB1; CTSA",0.3274
"fructoseglycine",3,-0.354,3.972,1.698,0.04477,"FN3K; FGGY; FN3KRP",0.3276
"keratan sulfate I, degradation product 32",7,0.22,5.177,1.698,0.04476,"HEXB; HEXD; HEXA; NEU1; GALNS; GLB1; CTSA",0.3276
"keratan sulfate I, degradation product 8",7,0.22,5.177,1.69,0.04547,"HEXB; HEXD; HEXA; NEU1; GALNS; GLB1; CTSA",0.3317
"6,7-dihydro-5-oxo-12-epi-LTB4",31,-0.239,8.978,1.688,0.04569,"CYP4B1; CYP3A5; CYP3A43; CYP2C9; CYP2J2; CYP4F11; CYP2E1; CYP2D6",0.332
"keratan sulfate I, degradation product 11",7,0.22,5.177,1.687,0.0458,"HEXB; HEXD; HEXA; NEU1; GALNS; GLB1; CTSA",0.332
"keratan sulfate I, degradation product 17",7,0.22,5.177,1.681,0.04639,"HEXB; HEXD; HEXA; NEU1; GALNS; GLB1; CTSA",0.3353
"4-hydroxy-2-quinolinecarboxylic acid",3,-0.371,3.916,1.672,0.04726,"AADAT; KYAT3; KYAT1",0.3406
"3-decaprenyl-4-hydroxybenzoate",3,0.268,3.898,1.67,0.0475,"COQ2; COQ6; UBIAD1",0.3413
"xanthurenate",3,-0.371,3.916,1.666,0.0479,"AADAT; KYAT1; KYAT3",0.3426
"formaldehyde",21,-0.16,7.623,1.665,0.04798,"CYP3A4; SARDH; PIPOX; LPO; PRDX6; CAT; PXDN; ADH1A",0.3426
"(13E)-tetranor-16-oxo-16-CoA-LTE4",8,0.294,5.272,1.663,0.04819,"ACOX3; ACOX1; ACOT7; BAAT; ACOT6; ACOT4; ACOT2; ACOT1",0.343
"riboflavin",6,0.29,4.885,1.661,0.04839,"RFK; ACP3; ACP7; SLC52A3; SLC52A1; SLC52A2",0.343
"all-trans-decaprenyl-diphosphate",4,0.287,4.232,1.66,0.04847,"PDSS2; PDSS1; COQ2; UBIAD1",0.343
"keratan sulfate I, degradation product 41",7,0.22,5.177,1.657,0.04872,"NEU1; GALNS; GLB1; CTSA; HEXB; HEXD; HEXA",0.3438
"ethanolamine",12,0.047,6.197,1.652,0.04922,"PTDSS2; PLD1; PLD2; GPCPD1; ETNK1; CHKA; ETNK2; CHKB",0.3463
"linolenoyl-CoA",33,0.233,9.169,1.65,0.04945,"FADS2; SLC27A2; ACSL1; ACSL3; ACSL5; ACSBG2; ACSL4; ACSL6",0.3469
"methionine",52,0.048,11.109,1.648,0.04963,"MAT2B; MAT2A; MAT1A; MTR; ACY1; BHMT2; BHMT; SLC43A1",0.3471
"fatty acid-VLDL pool",4,0.824,4.047,1.641,0.05043,"LPL; MGLL; ABHD6; ABHD12",0.3511
"20-COOH-LTB4",16,0.102,6.859,1.64,0.0505,"ALDH2; ALDH3A2; ALDH9A1; ALDH1B1; ALDH7A1; CBR3; CBR1; DHRS4",0.3511
"D-xylulose-5-phosphate",3,0.072,3.867,1.632,0.05138,"TKT; RPE; XYLB",0.3562
