"gs_name","gs_description","drug_name"
"DOANE_RESPONSE_TO_ANDROGEN_UP","Genes up-regulated in MDA-MB-453 cells (class A ER(-) [GeneID=2099] breast cancer) after exposure to the androgen R1881 [PubChem=13766].","r1881"
"DONATO_CELL_CYCLE_TRETINOIN","Genes involved in cell cycle regulation which were up-regulated in MCF-7 cells (breast cancer) by tretinoin (retinoic acid) [PubChem=444795].","acid)"
"DUTERTRE_ESTRADIOL_RESPONSE_24HR_DN","Genes down-regulated in MCF7 cells (breast cancer) at 24 h of estradiol [PubChem=5757] treatment.","estradiol"
"DUTERTRE_ESTRADIOL_RESPONSE_24HR_UP","Genes up-regulated in MCF7 cells (breast cancer) at 24 h of estradiol [PubChem=5757] treatment.","estradiol"
"DUTERTRE_ESTRADIOL_RESPONSE_6HR_DN","Genes down-regulated in MCF7 cells (breast cancer) at 6 h of estradiol [PubChem=5757] treatment.","estradiol"
"DUTERTRE_ESTRADIOL_RESPONSE_6HR_UP","Genes up-regulated in MCF7 cells (breast cancer) at 6 h of estradiol [PubChem=5757] treatment.","estradiol"
"EGUCHI_CELL_CYCLE_RB1_TARGETS","RB1 [GeneID=5925] target genes involved in cell cycle regulation: genes down-regulated by doxorubicin [PubChem=31703] only in cells expressing RB1.","doxorubicin"
"ELVIDGE_HYPOXIA_BY_DMOG_DN","Genes down-regulated in MCF7 cells (breast cancer) treated with hypoxia mimetic DMOG [PubChem=3080614].","dmog"
"ELVIDGE_HYPOXIA_BY_DMOG_UP","Genes up-regulated in MCF7 cells (breast cancer) treated with hypoxia mimetic DMOG [PubChem=3080614].","dmog"
"FERRARI_RESPONSE_TO_FENRETINIDE_DN","Genes down-regulated in HUVEC cells (umbilical vein endothelium) by fenretinide [PubChem=1744].","fenretinide"
"FERRARI_RESPONSE_TO_FENRETINIDE_UP","Genes up-regulated in HUVEC cells (umbilical vein endothelium) by fenretinide [PubChem=1744].","fenretinide"
"FRASOR_RESPONSE_TO_ESTRADIOL_DN","Genes down-regulated in MCF-7 cells (breast cancer) by estradiol (E2) [PubChem=5757].","(e2)"
"FRASOR_RESPONSE_TO_ESTRADIOL_UP","Genes up-regulated in MCF-7 cells (breast cancer) by estradiol (E2) [PubChem=5757].","(e2)"
"FRASOR_RESPONSE_TO_SERM_OR_FULVESTRANT_DN","Genes down-regulated in MCF-7 cells (breast cancer) by selective estrogen receptor modulators (SERM) 4-hydroxytamoxifen, raloxifene, or ICI 182780 but not by estradiol [PubChem=44959;5035;3478439;5757].","estradiol"
"FRASOR_RESPONSE_TO_SERM_OR_FULVESTRANT_UP","Genes up-regulated in MCF-7 cells (breast cancer) by selective estrogen receptor modulators (SERM) 4-hydroxytamoxifen, raloxifene, or ICI 182780 but not by estradiol [PubChem=44959;5035;3478439;5757].","estradiol"
"FRASOR_TAMOXIFEN_RESPONSE_DN","Genes preferentially down-regulated in MCF-7 cells (breast cancer) by tamoxifen [PubChem=5376] but not by estradiol or fulvestrant (ICI 182780) [PubChem=5757;3478439].","182780)"
"FRASOR_TAMOXIFEN_RESPONSE_UP","Genes preferentially up-regulated in MCF-7 cells (breast cancer) by tamoxifen [PubChem=5376] but not by estradiol or fulvestrant (ICI 182780) [PubChem=5757;3478439].","182780)"
"GAJATE_RESPONSE_TO_TRABECTEDIN_DN","Genes down-regulated in HeLa cells (cervical carcinoma) by trabectedin [PubChem=3199].","trabectedin"
"GAJATE_RESPONSE_TO_TRABECTEDIN_UP","Genes up-regulated in HeLa cells (cervical carcinoma) by trabectedin [PubChem=3199].","trabectedin"
"GALI_TP53_TARGETS_APOPTOTIC_DN","Apoptosis genes down-regulated by TP53 [GeneID=7157] in HCT116 cells (colon cancer) treated with thymoquinone [PubChem=10281].","thymoquinone"
"GALI_TP53_TARGETS_APOPTOTIC_UP","Apoptosis genes up-regulated by TP53 [GeneID=7157] in HCT116 cells (colon cancer) treated with thymoquinone [PubChem=10281].","thymoquinone"
"GAUTSCHI_SRC_SIGNALING","Genes down-regulated in A549 cells (lung cancer) after treatment with AZD0530 [PubChem=10302451], a SRC [GeneID=6714] kinase inhibitor.","azd0530"
"GERHOLD_RESPONSE_TO_TZD_DN","Genes down-regulated in 3T3-L1 cells (fibroblast) induced to differentiate to mature adipocytes and then treated with a TZD derivative AD-5075 [PubChem=128440], a PPARG [GeneID=5468] activator.","ad-5075"
"GERHOLD_RESPONSE_TO_TZD_UP","Genes up-regulated in 3T3-L1 cells (fibroblast) induced to differentiate to mature adipocytes and then treated with a TZD derivative AD-5075 [PubChem=128440], a PPARG [GeneID=5468] activator.","ad-5075"
"GOBERT_CORE_OLIGODENDROCYTE_DIFFERENTIATION","Oligodendrocyte core differentiation genes: up-regulated in Oli-neo cells (oligodendroglial precursor) at 10 h after treatment with PD174265, dexamethasone or isotretinoin [PubChem=4709, 5743, 5282379].","isotretinoin"
"GOBERT_OLIGODENDROCYTE_DIFFERENTIATION_DN","Genes down-regulated during differentiation of Oli-Neu cells (oligodendroglial precursor) in response to PD174265 [PubChem=4709].","pd174265"
"GOBERT_OLIGODENDROCYTE_DIFFERENTIATION_UP","Genes up-regulated during later stage of differentiation of Oli-Neu cells (oligodendroglial precursor) in response to PD174265 [PubChem=4709].","pd174265"
"GRAESSMANN_APOPTOSIS_BY_DOXORUBICIN_DN","Genes down-regulated in ME-A cells (breast cancer) undergoing apoptosis in response to doxorubicin [PubChem=31703].","doxorubicin"
"GRAESSMANN_APOPTOSIS_BY_DOXORUBICIN_UP","Genes up-regulated in ME-A cells (breast cancer) undergoing apoptosis in response to doxorubicin [PubChem=31703].","doxorubicin"
"GRAESSMANN_RESPONSE_TO_MC_AND_DOXORUBICIN_DN","Genes down-regulated in ME-A cells (breast cancer, sensitive to apoptotic stimuli) exposed to doxorubicin [PubChem=31703] in the presence of medium concentrate (MC) from ME-C cells (breast cancer, resistant to apoptotic stimuli).","doxorubicin"
"GRAESSMANN_RESPONSE_TO_MC_AND_DOXORUBICIN_UP","Genes up-regulated in ME-A cells (breast cancer, sensitive to apoptotic stimuli) exposed to doxorubicin [PubChem=31703] in the presence of medium concentrate (MC) from ME-C cells (breast cancer, resistant to apoptotic stimuli).","doxorubicin"
"GREGORY_SYNTHETIC_LETHAL_WITH_IMATINIB","Genes identified as synthetic lethal with imatinib [PubChem=5291] in RNAi screen in K562 cells (CML, chronic myelogenous leukemia).","imatinib"
"GYORFFY_DOXORUBICIN_RESISTANCE","Genes associated with resistance to doxorubicin [PubChem=31703].","doxorubicin"
"GYORFFY_MITOXANTRONE_RESISTANCE","Genes associated with resistance to mitoxantrone [PubChem=4212].","mitoxantrone"
