"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","sig","neg_log10_padj"
"ENSG00000143891",528.386963,-1.095993,0.113896,0,0,"Down",20.32594
"ENSG00000106123",2287.859937,1.384024,0.144798,0,0,"Up",20.267235
"ENSG00000003402",2546.609326,1.168246,0.122279,0,0,"Up",20.180467
"ENSG00000137962",4500.579844,1.130929,0.11901,0,0,"Up",20.073348
"ENSG00000167552",9310.09165,-1.191743,0.125312,0,0,"Down",20.072852
"ENSG00000165272",138.570901,-2.85784,0.30471,0,0,"Down",20.012328
"ENSG00000145244",167.013756,1.888875,0.199446,0,0,"Up",19.927951
"ENSG00000145675",3495.187601,1.513645,0.160797,0,0,"Up",19.922539
"ENSG00000140807",96.220447,2.37808,0.252265,0,0,"Up",19.728518
"ENSG00000198542",3506.913165,1.010355,0.107098,0,0,"Up",19.555552
"ENSG00000128342",153.120046,-2.549881,0.277513,0,0,"Down",19.422279
"ENSG00000103175",250.457907,1.719316,0.184831,0,0,"Up",19.340691
"ENSG00000116991",119.85375,-2.526935,0.27259,0,0,"Down",19.248767
"ENSG00000111859",1772.54117,1.58838,0.172953,0,0,"Up",19.085114
"ENSG00000100784",87.32276,-2.45304,0.265164,0,0,"Down",19.078088
"ENSG00000169218",643.194353,1.375113,0.148625,0,0,"Up",19.049848
"ENSG00000173838",47.352931,3.817573,0.410653,0,0,"Up",19.012395
"ENSG00000185813",468.2537,1.094318,0.118037,0,0,"Up",18.921715
"ENSG00000140105",2493.962612,-1.276569,0.138824,0,0,"Down",18.90762
"ENSG00000084090",3609.490275,1.226036,0.133252,0,0,"Up",18.789675
"ENSG00000185022",648.3385,1.24172,0.134902,0,0,"Up",18.787447
"ENSG00000175130",620.187452,-1.102048,0.119237,0,0,"Down",18.778195
"ENSG00000182552",978.405344,1.092236,0.118923,0,0,"Up",18.601507
"ENSG00000128311",316.408984,1.269463,0.138544,0,0,"Up",18.568572
"ENSG00000131771",95.418095,-2.931461,0.321481,0,0,"Down",18.517979
"ENSG00000157514",2205.718848,3.117588,0.350033,0,0,"Up",18.454557
"ENSG00000124151",1569.90433,1.328359,0.146313,0,0,"Up",18.404993
"ENSG00000100033",55.36392,4.778811,0.52404,0,0,"Up",18.388212
"ENSG00000083223",1486.903832,1.086094,0.119107,0,0,"Up",18.387749
"ENSG00000250978",56.318557,6.18516,0.663216,0,0,"Up",18.219396
"ENSG00000107796",2427.811637,1.116779,0.123831,0,0,"Up",18.126918
"ENSG00000108604",2178.076377,1.218975,0.135207,0,0,"Up",18.087585
"ENSG00000117461",215.509147,-1.663497,0.184673,0,0,"Down",18.084726
"ENSG00000176771",107.651022,-2.16982,0.242033,0,0,"Down",18.00932
"ENSG00000116711",111.968422,-2.394042,0.267421,0,0,"Down",17.980686
