"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err","drug_name"
"MARIADASON_RESPONSE_TO_BUTYRATE_SULINDAC_4","MARIADASON_RESPONSE_TO_BUTYRATE_SULINDAC_4",1,0.605210420841683,0.816937622197819,0.782608695652174,0.99604743083004,0.99604743083004,198,"tags=100%, list=40%, signal=61%","84908",0.0564118388217596,"mariadason_response_to_butyrate_sulindac_4"
"FRASOR_RESPONSE_TO_SERM_OR_FULVESTRANT_DN","FRASOR_RESPONSE_TO_SERM_OR_FULVESTRANT_DN",4,-0.424898276412373,-0.816424622563867,0.757446808510638,0.991894630192503,0.991894630192502,48,"tags=25%, list=10%, signal=23%","4522",0.0426733861156084,"frasor_response_to_serm_or_fulvestrant_dn"
"KUWANO_RNA_STABILIZED_BY_NO","KUWANO_RNA_STABILIZED_BY_NO",2,-0.514073114908493,-0.807050493121124,0.7893864013267,0.99604743083004,0.99604743083004,147,"tags=50%, list=29%, signal=35%","3162",0.047925896705813,"kuwano_rna_stabilized_by_no"
"MA_MYELOID_DIFFERENTIATION_DN","MA_MYELOID_DIFFERENTIATION_DN",2,0.483935742971888,0.80510465213851,0.744360902255639,0.984131000578369,0.984131000578369,259,"tags=100%, list=52%, signal=48%","7494/5704",0.0702812841717392,"ma_myeloid_differentiation_dn"
"YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_2","YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_2",1,0.595190380761523,0.803412164876664,0.804347826086957,0.99604743083004,0.99604743083004,203,"tags=100%, list=41%, signal=60%","2099",0.0551351763385257,"yao_temporal_response_to_progesterone_cluster_2"
"CONCANNON_APOPTOSIS_BY_EPOXOMICIN_UP","CONCANNON_APOPTOSIS_BY_EPOXOMICIN_UP",9,-0.331587359603922,-0.802369950886203,0.716803760282021,0.960320810468552,0.960320810468552,246,"tags=67%, list=49%, signal=34%","55968/10867/8974/4133/3162/1983",0.0365314928349125,"concannon_apoptosis_by_epoxomicin_up"
"CHIBA_RESPONSE_TO_TSA","CHIBA_RESPONSE_TO_TSA",2,-0.508034966853045,-0.797571120976647,0.804311774461028,0.99604743083004,0.99604743083004,112,"tags=50%, list=22%, signal=39%","8508",0.0470699590082662,"chiba_response_to_tsa"
"LUND_SILENCED_BY_METHYLATION","LUND_SILENCED_BY_METHYLATION",2,-0.508032128514056,-0.797566665029012,0.804311774461028,0.99604743083004,0.99604743083004,248,"tags=100%, list=50%, signal=51%","84336/3162",0.0470699590082662,"lund_silenced_by_methylation"
"CHIBA_RESPONSE_TO_TSA_UP","CHIBA_RESPONSE_TO_TSA_UP",5,-0.383192779467206,-0.790612285300408,0.774236387782204,0.99604743083004,0.99604743083004,267,"tags=80%, list=53%, signal=38%","7205/3675/4804/928",0.03863723737086,"chiba_response_to_tsa_up"
"FRASOR_RESPONSE_TO_SERM_OR_FULVESTRANT_UP","FRASOR_RESPONSE_TO_SERM_OR_FULVESTRANT_UP",1,-0.587174348697395,-0.788902547812276,0.806451612903226,0.99604743083004,0.99604743083004,208,"tags=100%, list=42%, signal=59%","9821",0.0559428593065705,"frasor_response_to_serm_or_fulvestrant_up"
